City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Bull Savanna,JM,17.89,-77.59,83.43,73,1,19.53,clear sky
145,Jamestown,US,42.1,-79.24,57.0,54,40,9.17,scattered clouds
146,Pisco,PE,-13.7,-76.22,71.6,60,1,19.46,dust
147,Piacabucu,BR,-10.41,-36.43,77.56,75,59,10.69,broken clouds
148,Omsukchan,RU,62.53,155.8,29.62,93,14,1.23,few clouds
149,Vila Velha,BR,-20.33,-40.29,84.0,74,0,17.22,clear sky
150,Zyuzelskiy,RU,56.49,60.13,44.6,56,100,8.95,overcast clouds
151,Humaita,BR,-7.51,-63.02,90.09,50,53,7.94,broken clouds
152,Taft,IR,31.75,54.21,73.4,28,0,4.7,clear sky
153,Maragogi,BR,-9.01,-35.22,78.66,72,100,10.11,overcast clouds
154,Agadir,MA,30.42,-9.6,69.8,68,59,12.75,broken clouds
155,Itarema,BR,-2.92,-39.92,83.03,63,100,20.67,overcast clouds
156,Vardo,NO,70.37,31.11,48.92,82,46,21.65,scattered clouds
157,Kasangulu,CD,-4.59,15.17,87.8,58,40,2.24,scattered clouds
158,Puerto Ayora,EC,-0.74,-90.35,77.0,61,40,20.8,scattered clouds
159,Kargasok,RU,59.06,80.86,46.15,92,100,8.1,overcast clouds
160,Araouane,ML,18.9,-3.53,97.27,25,98,8.34,light rain
161,New Norfolk,AU,-42.78,147.06,50.0,91,100,0.45,light rain
162,Minot,US,48.23,-101.3,54.0,46,90,4.7,overcast clouds
163,Mokhsogollokh,RU,61.47,128.92,25.75,95,0,3.15,clear sky
164,Sakakah,SA,29.97,40.21,84.2,17,0,9.17,clear sky
165,Merauke,ID,-8.47,140.33,78.53,83,100,12.93,overcast clouds
166,Brownsville,US,25.9,-97.5,87.01,51,1,9.17,clear sky
167,Grand-Santi,GF,4.25,-54.38,92.73,43,89,3.62,overcast clouds
168,Durant,US,33.99,-96.37,80.6,42,1,10.29,clear sky
169,Sernovodsk,RU,43.31,45.16,60.8,87,75,4.47,broken clouds
170,Coolum Beach,AU,-26.53,153.1,60.01,92,83,8.14,broken clouds
171,Jalu,LY,29.03,21.55,89.15,19,0,10.25,clear sky
172,Katsuura,JP,35.13,140.3,71.6,83,75,3.36,moderate rain
173,Paka,MY,4.64,103.44,77.0,100,100,4.97,light rain
174,Gaoual,GN,11.75,-13.2,76.42,88,100,2.84,overcast clouds
175,Charagua,BO,-19.8,-63.22,88.11,28,0,10.76,clear sky
176,Shubarkuduk,KZ,49.14,56.49,53.04,36,0,5.01,clear sky
177,Hualmay,PE,-11.1,-77.61,67.51,69,44,12.26,scattered clouds
178,Yumen,CN,40.28,97.2,36.86,60,46,17.6,scattered clouds
179,Sparti,GR,37.07,22.43,75.99,94,40,0.25,scattered clouds
180,Thompson,CA,55.74,-97.86,42.8,60,75,5.82,broken clouds
181,Provideniya,RU,64.38,-173.3,36.28,82,66,10.83,broken clouds
182,Mareeba,AU,-17.0,145.43,72.0,77,16,1.99,few clouds
183,Hailar,CN,49.2,119.7,40.15,91,100,10.92,overcast clouds
184,Tiksi,RU,71.69,128.87,24.62,95,37,21.61,scattered clouds
185,Lebu,CL,-37.62,-73.65,50.27,60,2,8.81,clear sky
186,Albacete,ES,38.83,-2.0,53.6,62,0,8.05,clear sky
187,Kulhudhuffushi,MV,6.62,73.07,81.64,72,100,9.91,overcast clouds
188,Luanda,AO,-8.84,13.23,75.2,78,20,11.41,few clouds
189,Santa Rosalia,MX,27.32,-112.28,93.2,27,0,7.34,clear sky
190,Bengkulu,ID,-3.8,102.27,76.23,84,100,6.4,overcast clouds
191,Miquelon,PM,47.1,-56.38,60.8,87,75,10.29,broken clouds
192,Pevek,RU,69.7,170.31,31.44,96,100,3.83,overcast clouds
193,Yichang,CN,30.71,111.28,62.01,85,100,0.13,light rain
194,Isangel,VU,-19.55,169.27,73.4,88,75,9.17,broken clouds
195,Vanavara,RU,60.34,102.28,34.9,96,100,7.34,overcast clouds
196,Thunder Bay,CA,48.4,-89.32,42.8,56,90,8.05,overcast clouds
197,Saint-Michel-Des-Saints,CA,46.68,-73.92,46.42,55,100,3.33,overcast clouds
198,Olavarria,AR,-36.89,-60.32,51.01,43,0,1.99,clear sky
199,Benghazi,LY,32.12,20.07,87.04,36,0,15.17,clear sky
200,Rio Grande,BR,-32.03,-52.1,55.99,79,100,4.0,overcast clouds
201,Xuddur,SO,4.12,43.89,75.9,74,63,15.19,light rain
202,Katherine,AU,-14.47,132.27,78.8,44,100,5.82,overcast clouds
203,Half Moon Bay,US,37.46,-122.43,84.0,73,5,3.36,smoke
204,Gladstone,AU,-23.85,151.25,68.0,77,90,9.17,overcast clouds
205,Kavieng,PG,-2.57,150.8,82.17,76,100,7.58,overcast clouds
206,Tibiri,NE,13.56,7.05,75.2,88,97,2.24,overcast clouds
207,Tahta,EG,26.77,31.5,87.8,25,0,10.29,clear sky
208,Longyearbyen,SJ,78.22,15.64,32.0,87,75,1.12,broken clouds
209,Sosnovo-Ozerskoye,RU,52.52,111.54,23.61,96,12,6.4,few clouds
210,Khandyga,RU,62.67,135.6,26.1,92,0,1.79,clear sky
211,Quelimane,MZ,-17.88,36.89,77.0,83,43,8.05,scattered clouds
212,Matamoros,MX,25.53,-103.25,81.0,26,5,2.82,clear sky
213,Kimbe,PG,-5.55,150.14,74.93,87,2,4.36,clear sky
214,Palu,ID,-0.89,119.87,75.78,81,100,2.55,heavy intensity rain
215,Skibbereen,IE,51.55,-9.27,46.4,81,40,8.05,light rain
216,Bambanglipuro,ID,-7.95,110.28,76.6,88,14,7.25,light rain
217,San Quintin,MX,30.48,-115.95,85.23,33,0,7.14,clear sky
218,Vao,NC,-22.67,167.48,69.39,78,3,22.37,light rain
219,Otradnoye,RU,59.78,30.82,57.99,67,100,4.47,overcast clouds
220,Constitucion,CL,-35.33,-72.42,53.37,55,4,16.02,clear sky
221,Waipawa,NZ,-41.41,175.52,57.2,82,37,25.28,scattered clouds
222,Oga,IT,46.46,10.35,46.99,93,20,1.12,few clouds
223,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,32.0,76,0,8.95,clear sky
224,Kamaishi,JP,39.27,141.88,65.08,80,100,3.91,overcast clouds
225,Konstantinovka,RU,49.62,127.98,46.38,95,100,5.95,moderate rain
226,Souillac,MU,-20.52,57.52,69.8,88,40,1.12,scattered clouds
227,Sao Filipe,CV,14.9,-24.5,81.18,72,2,16.04,clear sky
228,Tautira,PF,-17.73,-149.15,82.4,69,20,3.36,few clouds
229,Perth,AU,-31.93,115.83,52.0,87,75,3.36,broken clouds
230,Salalah,OM,17.02,54.09,78.8,78,0,2.24,clear sky
231,Bodden Town,KY,19.28,-81.25,86.0,84,40,11.41,scattered clouds
232,Geraldton,AU,-28.77,114.6,39.2,86,0,4.7,clear sky
233,Upernavik,GL,72.79,-56.15,33.13,89,56,14.36,broken clouds
234,Kitgum,UG,3.28,32.89,66.63,94,80,2.35,light rain
235,Tecoanapa,MX,16.52,-98.75,85.87,53,96,8.61,overcast clouds
236,Miri,MY,4.41,114.01,75.2,100,40,3.36,scattered clouds
237,Sacama,EC,-3.9,-79.27,75.2,53,90,14.99,shower rain
238,Teya,RU,60.38,92.63,43.29,88,100,8.95,light rain
239,Zyryanka,RU,65.75,150.85,27.72,96,0,6.67,clear sky
240,Yulara,AU,-25.24,130.99,69.8,73,90,10.29,overcast clouds
241,Mujiayingzi,CN,42.12,118.78,34.88,72,0,7.07,clear sky
242,Akropong,GH,5.97,-0.09,78.8,83,20,9.17,few clouds
243,Nanortalik,GL,60.14,-45.24,36.54,85,82,11.21,broken clouds
244,Kirkcudbright,GB,54.84,-4.05,46.99,93,100,3.0,moderate rain
245,Dicabisagan,PH,17.08,122.42,78.31,79,17,6.24,few clouds
246,Balkanabat,TM,39.51,54.37,65.7,26,0,8.5,clear sky
247,Horsham,GB,51.06,-0.33,55.4,82,20,3.36,moderate rain
248,Noumea,NC,-22.28,166.46,71.01,77,75,3.36,broken clouds
249,Balabac,PH,7.99,117.06,82.42,78,100,13.09,overcast clouds
250,Port-Gentil,GA,-0.72,8.78,78.8,88,40,9.17,scattered clouds
251,Qaqortoq,GL,60.72,-46.03,41.0,65,20,6.93,few clouds
252,Aleksandrovsk-Sakhalinskiy,RU,50.9,142.16,50.04,91,100,10.71,light rain
253,Igbaras,PH,10.72,122.27,79.0,78,100,3.47,overcast clouds
254,Akdepe,TM,42.06,59.38,51.8,43,7,6.93,clear sky
255,Los Llanos De Aridane,ES,28.66,-17.92,75.2,78,20,14.99,few clouds
256,Cusuna,HN,15.85,-85.23,82.63,77,58,4.45,broken clouds
257,Dong Xoai,VN,11.53,106.92,74.61,96,100,2.57,moderate rain
258,Rocha,UY,-34.48,-54.33,51.85,63,77,13.29,broken clouds
259,Roald,NO,62.58,6.13,59.0,58,28,14.99,scattered clouds
260,Cherskiy,RU,68.75,161.3,27.75,97,29,4.38,scattered clouds
261,Cascais,PT,38.7,-9.42,63.0,72,20,4.7,few clouds
262,Lompoc,US,34.64,-120.46,84.2,44,1,6.93,clear sky
263,Lasa,IT,46.62,10.7,53.01,87,75,10.29,broken clouds
264,Olds,CA,51.78,-114.1,71.01,45,40,10.29,smoke
265,Dikson,RU,73.51,80.55,33.66,89,100,18.61,overcast clouds
266,Namatanai,PG,-3.67,152.43,80.04,80,100,8.46,light rain
267,Chapais,CA,49.78,-74.85,41.0,48,90,11.41,overcast clouds
268,Bud,US,39.45,-86.18,62.01,44,90,5.82,overcast clouds
269,Sarangani,PH,5.4,125.46,84.36,76,100,13.56,overcast clouds
270,Palpa,PE,-14.53,-75.19,81.9,32,0,8.3,clear sky
271,Bida,NG,9.08,6.02,77.63,85,0,2.77,clear sky
272,Saint George,US,37.1,-113.58,84.99,8,1,1.25,clear sky
273,Coihaique,CL,-45.58,-72.07,55.4,19,0,6.93,clear sky
274,Waddan,LY,29.16,16.14,88.21,13,26,11.56,scattered clouds
275,Revadanda,IN,18.55,72.93,80.6,88,75,8.05,haze
276,Ploemeur,FR,47.73,-3.43,52.0,66,75,16.11,broken clouds
277,Tezu,IN,27.92,96.17,77.65,66,64,2.13,broken clouds
278,Husavik,IS,66.04,-17.34,35.6,93,90,3.36,light rain
279,Mariental,NA,-24.63,17.97,64.99,18,0,10.04,clear sky
280,Privolzhskiy,RU,51.4,46.03,57.99,49,100,1.01,overcast clouds
281,Bahia Honda,CU,22.9,-83.16,79.14,88,100,10.36,light rain
282,Pekan,MY,3.48,103.4,78.8,88,20,4.7,few clouds
283,Ribas Do Rio Pardo,BR,-20.44,-53.76,109.09,7,0,6.06,clear sky
284,Gravdal,NO,68.12,13.5,51.85,76,0,8.55,clear sky
285,Stromness,GB,58.97,-3.3,55.4,93,100,18.34,light rain
286,Durazno,UY,-33.41,-56.5,52.12,70,51,11.39,broken clouds
287,Hofn,IS,64.25,-15.21,47.73,93,100,13.73,light rain
288,Tuatapere,NZ,-46.13,167.68,50.0,96,100,18.99,moderate rain
289,Kirakira,SB,-10.45,161.92,77.32,82,3,7.2,clear sky
290,Mezen,RU,65.85,44.24,34.48,89,0,4.32,clear sky
291,Udachnyy,RU,66.42,112.4,30.2,92,90,6.71,light snow
292,Chimoio,MZ,-19.12,33.48,75.0,100,100,12.75,overcast clouds
293,Gazanjyk,TM,39.24,55.52,60.37,31,0,7.99,clear sky
294,Seminole,US,28.71,-81.21,78.01,88,90,10.29,overcast clouds
295,Keningau,MY,5.34,116.16,75.2,100,20,4.7,few clouds
296,Vyshhorod,UA,50.58,30.49,59.0,99,87,12.84,overcast clouds
297,Demir Hisar,MK,41.22,21.2,63.3,74,90,1.57,overcast clouds
298,Margau,RO,46.75,22.97,63.0,72,49,4.7,scattered clouds
299,Minab,IR,27.15,57.08,87.8,66,0,4.7,haze
300,Saint-Joseph,RE,-21.37,55.62,73.4,78,75,17.22,broken clouds
301,Lata,PT,40.16,-8.33,61.0,71,10,5.01,clear sky
302,Isla Mujeres,MX,21.23,-86.73,80.6,100,90,14.99,heavy intensity rain
303,Shimoda,JP,34.67,138.95,61.0,93,71,3.87,broken clouds
304,Dingle,PH,11.0,122.67,76.44,87,96,2.19,light rain
305,Solnechnyy,RU,50.72,136.63,43.05,92,99,2.48,light rain
306,Touros,BR,-5.2,-35.46,82.4,61,92,13.87,overcast clouds
307,Poddorye,RU,57.47,31.12,54.34,71,48,8.05,scattered clouds
308,Lake City,US,30.19,-82.64,75.99,60,1,10.29,clear sky
309,Te Anau,NZ,-45.42,167.72,51.76,88,59,7.94,heavy intensity rain
310,Kysyl-Syr,RU,63.9,122.76,27.82,92,97,7.05,overcast clouds
311,Dunmore East,IE,52.15,-6.99,48.99,81,0,5.82,clear sky
312,Aswan,EG,24.09,32.91,91.04,14,0,14.65,clear sky
313,Sayyan,YE,15.17,44.32,58.98,33,0,8.95,clear sky
314,Avera,US,33.19,-82.53,71.6,46,40,6.93,scattered clouds
315,Dudinka,RU,69.41,86.18,26.6,92,5,29.08,clear sky
316,Cortez,US,37.35,-108.59,77.0,16,1,16.11,clear sky
317,Baykit,RU,61.67,96.37,39.34,89,100,5.46,light rain
318,Caravelas,BR,-17.71,-39.25,80.06,68,0,10.58,clear sky
319,San Angelo,US,31.46,-100.44,84.99,35,1,17.22,clear sky
320,Agadez,NE,19.75,10.25,95.85,18,100,9.78,overcast clouds
321,Makokou,GA,0.57,12.86,70.65,96,20,1.21,few clouds
322,Yekimovichi,RU,54.11,33.3,53.01,61,54,10.25,broken clouds
323,Antri,IN,26.06,78.21,76.44,35,1,3.13,clear sky
324,Port Hedland,AU,-20.32,118.57,69.8,38,100,19.46,overcast clouds
325,Les Mureaux,FR,49.0,1.92,53.01,93,90,2.24,overcast clouds
326,Koslan,RU,63.46,48.9,34.32,88,0,3.62,clear sky
327,San Patricio,MX,19.22,-104.7,91.4,63,5,9.17,clear sky
328,Tingo Maria,PE,-9.29,-76.01,86.0,55,40,3.33,scattered clouds
329,East London,ZA,-33.02,27.91,60.8,100,90,12.75,light rain
330,Narsaq,GL,60.92,-46.05,41.0,65,20,6.93,few clouds
331,Sidi Ali,DZ,36.1,0.42,62.6,64,0,15.88,clear sky
332,Kozhva,RU,65.11,57.05,31.03,98,1,4.43,clear sky
333,Namibe,AO,-15.2,12.15,65.88,71,14,5.97,few clouds
334,Ca Mau,VN,9.18,105.15,77.49,91,97,3.2,overcast clouds
335,Naze,JP,28.37,129.48,71.6,94,3,9.51,clear sky
336,Muros,ES,42.78,-9.06,59.0,80,33,5.99,light rain
337,Brae,GB,60.4,-1.35,55.4,87,100,20.8,overcast clouds
338,Homer,US,59.64,-151.55,50.0,81,90,8.05,light rain
339,Porto Novo,BJ,6.5,2.6,80.6,83,40,10.29,scattered clouds
340,Atarfe,ES,37.22,-3.69,55.0,71,0,3.02,clear sky
341,Zhigansk,RU,66.77,123.37,31.44,99,100,16.73,overcast clouds
342,Verkhnevilyuysk,RU,63.45,120.32,28.56,93,93,7.72,overcast clouds
343,Mier,MX,26.43,-99.15,91.4,33,1,6.93,clear sky
