City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
128,Nhulunbuy,AU,77.0,overcast clouds,-12.23,136.77,East Arnhem Real Estate
130,Kavaratti,IN,81.3,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
133,Kahului,US,84.2,few clouds,20.89,-156.47,Maui Seaside Hotel
137,Srandakan,ID,76.62,light rain,-7.94,110.25,Puri Brata
138,Kisanga,TZ,76.6,clear sky,-7.44,37.7,
140,Bacolod,PH,78.8,overcast clouds,10.67,122.95,Planta Hotel & Residences
141,Jilib,SO,76.89,scattered clouds,0.49,42.79,
144,Bull Savanna,JM,83.43,clear sky,17.89,-77.59,Big Red's
147,Piacabucu,BR,77.56,broken clouds,-10.41,-36.43,Piaçabuçu News
149,Vila Velha,BR,84.0,clear sky,-20.33,-40.29,Hotel Vitória Palace
153,Maragogi,BR,78.66,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
155,Itarema,BR,83.03,overcast clouds,-2.92,-39.92,Windvillage
157,Kasangulu,CD,87.8,scattered clouds,-4.59,15.17,Hôtel le Relais
158,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
164,Sakakah,SA,84.2,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
165,Merauke,ID,78.53,overcast clouds,-8.47,140.33,
166,Brownsville,US,87.01,clear sky,25.9,-97.5,Hotel Alameda Express
168,Durant,US,80.6,clear sky,33.99,-96.37,Holiday Inn Express & Suites Durant
171,Jalu,LY,89.15,clear sky,29.03,21.55,Jalu Hotel
173,Paka,MY,77.0,light rain,4.64,103.44,Rumbia Resort Villa Paka Terengganu
174,Gaoual,GN,76.42,overcast clouds,11.75,-13.2,Hotel koliba
175,Charagua,BO,88.11,clear sky,-19.8,-63.22,Residencial Luismar
179,Sparti,GR,75.99,scattered clouds,37.07,22.43,Maniatis Hotel
187,Kulhudhuffushi,MV,81.64,overcast clouds,6.62,73.07,Haajy Guest House 1
188,Luanda,AO,75.2,few clouds,-8.84,13.23,EPIC SANA Luanda
190,Bengkulu,ID,76.23,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
199,Benghazi,LY,87.04,clear sky,32.12,20.07,Tibesti Hotel
201,Xuddur,SO,75.9,light rain,4.12,43.89,Banjanay Hotel
202,Katherine,AU,78.8,overcast clouds,-14.47,132.27,Pine Tree Motel
203,Half Moon Bay,US,84.0,smoke,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
205,Kavieng,PG,82.17,overcast clouds,-2.57,150.8,Nusa Island Retreat
206,Tibiri,NE,75.2,overcast clouds,13.56,7.05,
207,Tahta,EG,87.8,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
211,Quelimane,MZ,77.0,scattered clouds,-17.88,36.89,Hotel Flamingo
212,Matamoros,MX,81.0,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
214,Palu,ID,75.78,heavy intensity rain,-0.89,119.87,Hotel Santika Palu
216,Bambanglipuro,ID,76.6,light rain,-7.95,110.28,Puri Brata
217,San Quintin,MX,85.23,clear sky,30.48,-115.95,Old Mill Hotel
227,Sao Filipe,CV,81.18,clear sky,14.9,-24.5,Tortuga B&B
228,Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
230,Salalah,OM,78.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
231,Bodden Town,KY,86.0,scattered clouds,19.28,-81.25,Will T Place
235,Tecoanapa,MX,85.87,overcast clouds,16.52,-98.75,Hotel Manglares
236,Miri,MY,75.2,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
237,Sacama,EC,75.2,shower rain,-3.9,-79.27,Hacienda Gonzabal
242,Akropong,GH,78.8,few clouds,5.97,-0.09,Vip Lodge
245,Dicabisagan,PH,78.31,few clouds,17.08,122.42,Nancy Montanes Bernardo
